epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4425,1.63236,3.78759,2.00033,0.06803,0.07947,0.06719,0.02165,2.17027,3.31848,2.75455,0.000301196,0.000301196,0.000301196
2,52.5107,1.68626,3.3791,2.03942,0.38959,0.15456,0.09674,0.03437,2.1016,3.30046,2.65445,0.000589243,0.000589243,0.000589243
3,75.3125,1.68546,3.1358,2.01961,0.08285,0.1582,0.08018,0.03096,2.16689,3.12845,2.70243,0.00086229,0.00086229,0.00086229
4,97.9322,1.67037,2.97879,1.99778,0.19174,0.23133,0.13595,0.05053,2.12532,3.24372,2.85587,0.000841507,0.000841507,0.000841507
5,119.709,1.64585,2.86107,1.9761,0.2865,0.24533,0.17803,0.07193,2.11069,3.00208,2.69985,0.000819009,0.000819009,0.000819009
6,141.67,1.61627,2.76781,1.95542,0.15284,0.20226,0.0995,0.04013,2.14532,3.19963,2.65282,0.000796511,0.000796511,0.000796511
7,163.813,1.61992,2.70712,1.94627,0.3173,0.33272,0.24345,0.088,2.09359,2.73823,2.54459,0.000774013,0.000774013,0.000774013
8,186.22,1.59345,2.62594,1.94024,0.29609,0.33881,0.19509,0.07876,2.04528,2.92594,2.55472,0.000751516,0.000751516,0.000751516
9,208.177,1.59516,2.53906,1.91131,0.28917,0.30097,0.24541,0.09949,2.01427,2.65259,2.58441,0.000729018,0.000729018,0.000729018
10,230.792,1.5667,2.47157,1.90027,0.38292,0.36748,0.26491,0.1084,1.97705,2.75507,2.51581,0.00070652,0.00070652,0.00070652
11,253.009,1.54771,2.41374,1.87529,0.39266,0.31883,0.29686,0.12288,2.01954,2.43975,2.46916,0.000684022,0.000684022,0.000684022
12,275.425,1.53586,2.35723,1.8708,0.38927,0.38831,0.31458,0.12194,1.94396,2.47677,2.42875,0.000661525,0.000661525,0.000661525
